p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
2,0,0,3,False
5,0,0,6,False
11,3,5,5,True
13,3,3,3,True
17,13,4,4,True
19,7,3,3,True
23,2,7,11,True
29,7,6,7,True
37,11,6,6,True
41,3,6,8,True
43,7,5,6,True
47,3,14,23,True
53,7,18,26,True
59,3,23,29,True
61,13,3,3,True
67,29,3,3,True
71,5,4,5,True
73,2,3,9,True
79,2,23,39,True
83,3,29,41,True
89,2,5,11,True
97,2,17,48,True
101,17,9,10,True
103,23,16,17,True
107,3,38,53,True
109,3,18,27,True
113,7,11,14,True
131,19,25,26,True
137,2,39,68,True
139,23,43,46,True
149,5,30,37,True
151,19,5,5,True
157,13,4,6,True
163,23,17,18,True
167,2,43,83,True
173,23,42,43,True
179,3,62,89,True
181,19,4,4,True
191,7,5,10,True
193,3,8,16,True
197,19,12,14,True
199,19,15,18,True
211,23,9,10,True
223,2,19,37,True
227,3,71,113,True
229,17,17,19,True
233,2,13,29,True
239,23,31,34,True
241,2,11,24,True
251,5,20,25,True
257,2,5,16,True
263,2,79,131,True
269,5,54,67,True
271,29,5,6,True
277,19,22,23,True
281,7,15,20,True
283,2,43,94,True
293,17,69,73,True
307,17,3,3,True
311,13,27,31,True
313,5,4,8,True
317,11,72,79,True
331,2,9,30,True
337,2,9,21,True
347,3,119,173,True
349,17,53,58,True
353,7,27,32,True
359,2,87,179,True
367,7,48,61,True
373,7,50,62,True
379,5,16,21,True
383,2,91,191,True
389,5,80,97,True
397,2,19,44,True
401,29,7,10,True
409,5,13,17,True
419,13,10,11,True
421,29,4,4,True
431,2,17,43,True
433,3,15,27,True
439,2,33,73,True
443,13,15,17,True
449,5,9,14,True
457,17,29,38,True
461,23,21,23,True
463,13,39,42,True
467,3,158,233,True
479,2,115,239,True
487,19,26,27,True
491,3,28,49,True
499,2,69,166,True
503,2,135,251,True
509,23,119,127,True
521,5,5,10,True
523,19,8,9,True
541,17,53,60,True
547,3,7,14,True
557,19,130,139,True
563,3,194,281,True
569,5,55,71,True
571,2,49,114,True
577,3,31,48,True
587,3,191,293,True
593,2,67,148,True
599,19,11,13,True
601,5,6,12,True
607,7,88,101,True
613,19,47,51,True
617,2,63,154,True
619,3,137,206,True
631,2,23,45,True
641,13,17,20,True
643,2,99,214,True
647,2,159,323,True
653,7,141,163,True
659,3,206,329,True
661,3,7,22,True
673,23,12,14,True
677,13,156,169,True
683,2,9,22,True
691,19,41,46,True
701,19,6,7,True
709,3,112,177,True
719,2,195,359,True
727,2,53,121,True
733,2,105,244,True
739,5,86,123,True
743,2,187,371,True
751,11,134,150,True
757,3,4,9,True
761,5,24,38,True
769,19,6,12,True
773,17,179,193,True
787,3,163,262,True
797,11,182,199,True
809,7,86,101,True
811,7,21,27,True
821,19,191,205,True
823,5,205,274,True
827,5,85,118,True
829,5,5,9,True
839,2,203,419,True
853,3,87,142,True
857,23,203,214,True
859,13,9,11,True
863,2,203,431,True
877,29,139,146,True
881,2,25,55,True
883,17,46,49,True
887,2,215,443,True
907,19,139,151,True
911,7,5,14,True
919,2,75,153,True
929,23,105,116,True
937,13,14,18,True
941,23,17,20,True
947,17,16,22,True
953,2,27,68,True
967,11,147,161,True
971,7,81,97,True
977,2,231,488,True
983,2,239,491,True
991,17,55,66,True
997,3,98,166,True
1009,13,43,48,True
1013,2,37,92,True
1019,3,341,509,True
1021,3,16,34,True
1031,29,98,103,True
1033,19,122,129,True
1039,5,131,173,True
1049,2,119,262,True
1051,3,124,210,True
1061,29,17,20,True
1063,7,6,9,True
1069,29,84,89,True
1087,17,170,181,True
1091,3,69,109,True
1093,3,3,7,True
1097,2,127,274,True
1103,2,13,29,True
1109,13,256,277,True
1117,11,9,12,True
1123,7,6,11,True
1129,23,179,188,True
1151,13,37,46,True
1153,23,63,72,True
1163,2,73,166,True
1171,5,34,45,True
1181,3,6,20,True
1187,3,389,593,True
1193,2,155,298,True
1201,7,5,8,True
1213,13,87,101,True
1217,2,59,152,True
1223,3,26,47,True
1229,5,459,614,True
1231,11,34,41,True
1237,11,179,206,True
1249,2,69,156,True
1259,29,65,74,True
1277,11,284,319,True
1279,2,307,639,True
1283,3,431,641,True
1289,23,20,23,True
1291,19,120,129,True
1297,3,90,162,True
1301,11,103,130,True
1303,5,43,62,True
1307,3,449,653,True
1319,2,303,659,True
1321,17,19,24,True
1327,2,109,221,True
1361,17,59,68,True
1367,2,335,683,True
1373,7,295,343,True
1381,13,20,23,True
1399,2,113,233,True
1409,7,33,44,True
1423,17,14,18,True
1427,3,488,713,True
1429,2,27,84,True
1433,2,81,179,True
1439,2,363,719,True
1447,7,202,241,True
1451,3,473,725,True
1453,11,28,33,True
1459,5,190,243,True
1471,17,96,105,True
1481,13,32,37,True
1483,13,229,247,True
1487,2,375,743,True
1489,11,217,248,True
1493,7,637,746,True
1499,7,179,214,True
1511,3,97,151,True
1523,3,515,761,True
1531,5,66,85,True
1543,7,211,257,True
1549,17,38,43,True
1553,2,77,194,True
1559,17,31,38,True
1567,19,157,174,True
1571,23,151,157,True
1579,11,232,263,True
1583,3,70,113,True
1597,3,11,19,True
1601,19,22,25,True
1607,2,423,803,True
1609,5,51,67,True
1613,2,15,52,True
1619,3,554,809,True
1621,3,26,45,True
1627,11,243,271,True
1637,11,363,409,True
1657,2,33,92,True
1663,2,419,831,True
1667,13,43,49,True
1669,3,78,139,True
1693,13,128,141,True
1697,11,89,106,True
1699,5,229,283,True
1709,2,89,244,True
1721,2,101,215,True
1723,11,17,21,True
1733,7,375,433,True
1741,5,10,15,True
1747,19,272,291,True
1753,2,69,146,True
1759,5,228,293,True
1777,2,31,74,True
1783,5,121,162,True
1787,3,575,893,True
1789,2,285,596,True
1801,2,9,25,True
1811,7,151,181,True
1823,2,435,911,True
1831,29,57,61,True
1847,11,60,71,True
1861,5,21,31,True
1867,3,397,622,True
