p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),sparsity <= ord_p(q)?
163,41,79,81,True
211,37,105,105,True
293,31,143,146,True
673,83,321,336,True
677,37,323,338,True
997,53,483,498,True
1093,61,539,546,True
1237,73,599,618,True
1277,47,627,638,True
1423,47,697,711,True
1553,37,749,776,True
1601,37,787,800,True
1609,59,781,804,True
1861,31,892,930,True
2269,37,1103,1134,True
2273,31,1097,1136,True
2281,31,1085,1140,True
2593,37,1269,1296,True
2621,43,1267,1310,True
2657,37,1291,1328,True
2767,41,1351,1383,True
2857,79,1411,1428,True
2861,37,1387,1430,True
3373,31,1645,1686,True
3463,31,1690,1731,True
3517,41,1697,1758,True
3701,61,1823,1850,True
3733,59,1838,1866,True
4021,59,1959,2010,True
4133,31,1995,2066,True
4157,41,2029,2078,True
4177,37,2029,2088,True
4397,43,2145,2198,True
4493,37,2193,2246,True
4603,31,2223,2301,True
4733,41,2306,2366,True
4817,67,2373,2408,True
4933,53,2421,2466,True
5081,31,2469,2540,True
5101,53,2509,2550,True
5233,37,2523,2616,True
5297,41,2559,2648,True
5309,31,2571,2654,True
5441,31,2615,2720,True
5449,89,2689,2724,True
5573,47,2711,2786,True
5701,31,2755,2850,True
5981,47,2919,2990,True
6427,37,3144,3213,True
6637,59,3245,3318,True
6661,59,3267,3330,True
6733,47,3283,3366,True
7057,61,3467,3528,True
7213,61,3551,3606,True
7237,61,3555,3618,True
7321,31,3517,3660,True
7477,37,3639,3738,True
7541,31,3641,3770,True
7577,41,3667,3788,True
7717,41,3759,3858,True
7793,61,3841,3896,True
