p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
11,5,6,5,"[(x^5 + 2*x^4 + 4*x^3 + x^2 + x + 4, 6), (x^5 + 4*x^4 + 4*x^3 + x^2 + 3*x + 4, 6)]",False
11,31,6,5,"[(x^5 + 10*x^4 + 30*x^3 + x^2 + 9*x + 30, 6), (x^5 + 22*x^4 + 30*x^3 + x^2 + 21*x + 30, 6)]",False
11,37,6,5,"[(x^5 + 14*x^4 + 36*x^3 + x^2 + 13*x + 36, 6), (x^5 + 24*x^4 + 36*x^3 + x^2 + 23*x + 36, 6)]",False
11,47,6,5,"[(x^5 + 21*x^4 + 46*x^3 + x^2 + 20*x + 46, 6), (x^5 + 27*x^4 + 46*x^3 + x^2 + 26*x + 46, 6)]",False
11,53,6,5,"[(x^5 + 13*x^4 + 52*x^3 + x^2 + 12*x + 52, 6), (x^5 + 41*x^4 + 52*x^3 + x^2 + 40*x + 52, 6)]",False
11,59,6,5,"[(x^5 + 8*x^4 + 58*x^3 + x^2 + 7*x + 58, 6), (x^5 + 52*x^4 + 58*x^3 + x^2 + 51*x + 58, 6)]",False
11,71,6,5,"[(x^5 + 15*x^4 + 70*x^3 + x^2 + 14*x + 70, 6), (x^5 + 57*x^4 + 70*x^3 + x^2 + 56*x + 70, 6)]",False
11,97,6,5,"[(x^5 + 30*x^4 + 96*x^3 + x^2 + 29*x + 96, 6), (x^5 + 68*x^4 + 96*x^3 + x^2 + 67*x + 96, 6)]",False
11,103,6,5,"[(x^5 + 18*x^4 + 102*x^3 + x^2 + 17*x + 102, 6), (x^5 + 86*x^4 + 102*x^3 + x^2 + 85*x + 102, 6)]",False
11,113,6,5,"[(x^5 + 11*x^4 + 112*x^3 + x^2 + 10*x + 112, 6), (x^5 + 103*x^4 + 112*x^3 + x^2 + 102*x + 112, 6)]",False
11,137,6,5,"[(x^5 + 59*x^4 + 136*x^3 + x^2 + 58*x + 136, 6), (x^5 + 79*x^4 + 136*x^3 + x^2 + 78*x + 136, 6)]",False
11,157,6,5,"[(x^5 + 49*x^4 + 156*x^3 + x^2 + 48*x + 156, 6), (x^5 + 109*x^4 + 156*x^3 + x^2 + 108*x + 156, 6)]",False
11,163,6,5,"[(x^5 + 29*x^4 + 162*x^3 + x^2 + 28*x + 162, 6), (x^5 + 135*x^4 + 162*x^3 + x^2 + 134*x + 162, 6)]",False
11,179,6,5,"[(x^5 + 70*x^4 + 178*x^3 + x^2 + 69*x + 178, 6), (x^5 + 110*x^4 + 178*x^3 + x^2 + 109*x + 178, 6)]",False
11,181,6,5,"[(x^5 + 65*x^4 + 180*x^3 + x^2 + 64*x + 180, 6), (x^5 + 117*x^4 + 180*x^3 + x^2 + 116*x + 180, 6)]",False
11,191,6,5,"[(x^5 + 54*x^4 + 190*x^3 + x^2 + 53*x + 190, 6), (x^5 + 138*x^4 + 190*x^3 + x^2 + 137*x + 190, 6)]",False
11,223,6,5,"[(x^5 + 50*x^4 + 222*x^3 + x^2 + 49*x + 222, 6), (x^5 + 174*x^4 + 222*x^3 + x^2 + 173*x + 222, 6)]",False
11,229,6,5,"[(x^5 + 102*x^4 + 228*x^3 + x^2 + 101*x + 228, 6), (x^5 + 128*x^4 + 228*x^3 + x^2 + 127*x + 228, 6)]",False
11,251,6,5,"[(x^5 + 48*x^4 + 250*x^3 + x^2 + 47*x + 250, 6), (x^5 + 204*x^4 + 250*x^3 + x^2 + 203*x + 250, 6)]",False
11,257,6,5,"[(x^5 + 98*x^4 + 256*x^3 + x^2 + 97*x + 256, 6), (x^5 + 160*x^4 + 256*x^3 + x^2 + 159*x + 256, 6)]",False
11,269,6,5,"[(x^5 + 64*x^4 + 268*x^3 + x^2 + 63*x + 268, 6), (x^5 + 206*x^4 + 268*x^3 + x^2 + 205*x + 268, 6)]",False
11,311,6,5,"[(x^5 + 31*x^4 + 310*x^3 + x^2 + 30*x + 310, 6), (x^5 + 281*x^4 + 310*x^3 + x^2 + 280*x + 310, 6)]",False
