p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
13,17,7,6,"[(x^6 + 5*x^5 + 2*x^4 + 4*x^3 + 2*x^2 + 5*x + 1, 7), (x^6 + 13*x^5 + 2*x^4 + 12*x^3 + 2*x^2 + 13*x + 1, 7)]",False
13,23,7,6,"[(x^6 + 9*x^5 + 2*x^4 + 8*x^3 + 2*x^2 + 9*x + 1, 7), (x^6 + 15*x^5 + 2*x^4 + 14*x^3 + 2*x^2 + 15*x + 1, 7)]",False
13,43,7,6,"[(x^6 + 12*x^5 + 2*x^4 + 11*x^3 + 2*x^2 + 12*x + 1, 7), (x^6 + 32*x^5 + 2*x^4 + 31*x^3 + 2*x^2 + 32*x + 1, 7)]",False
13,101,7,6,"[(x^6 + 18*x^5 + 2*x^4 + 17*x^3 + 2*x^2 + 18*x + 1, 7), (x^6 + 84*x^5 + 2*x^4 + 83*x^3 + 2*x^2 + 84*x + 1, 7)]",False
13,127,7,6,"[(x^6 + 47*x^5 + 2*x^4 + 46*x^3 + 2*x^2 + 47*x + 1, 7), (x^6 + 81*x^5 + 2*x^4 + 80*x^3 + 2*x^2 + 81*x + 1, 7)]",False
13,173,7,6,"[(x^6 + 40*x^5 + 2*x^4 + 39*x^3 + 2*x^2 + 40*x + 1, 7), (x^6 + 134*x^5 + 2*x^4 + 133*x^3 + 2*x^2 + 134*x + 1, 7)]",False
13,179,7,6,"[(x^6 + 14*x^5 + 2*x^4 + 13*x^3 + 2*x^2 + 14*x + 1, 7), (x^6 + 166*x^5 + 2*x^4 + 165*x^3 + 2*x^2 + 166*x + 1, 7)]",False
13,199,7,6,"[(x^6 + 25*x^5 + 2*x^4 + 24*x^3 + 2*x^2 + 25*x + 1, 7), (x^6 + 175*x^5 + 2*x^4 + 174*x^3 + 2*x^2 + 175*x + 1, 7)]",False
13,251,7,6,"[(x^6 + 28*x^5 + 2*x^4 + 27*x^3 + 2*x^2 + 28*x + 1, 7), (x^6 + 224*x^5 + 2*x^4 + 223*x^3 + 2*x^2 + 224*x + 1, 7)]",False
13,257,7,6,"[(x^6 + 115*x^5 + 2*x^4 + 114*x^3 + 2*x^2 + 115*x + 1, 7), (x^6 + 143*x^5 + 2*x^4 + 142*x^3 + 2*x^2 + 143*x + 1, 7)]",False
